id,nome,massa,luminosidade,temperatura,distancia,ascensao_reta,declinacao
0,crocodilo-ousado-zeta,0.7463797,0.30899003,4612.2617,1731.9635,274.3910629978272,-28.8889777741176
1,suricato-astrologo-zeta,0.9454725,1.6618968,4946.644,1849.9854,276.6911939192,-46.105121309775384
2,galinha-audivel-sigma,2.5043414,54.34777,4644.883,3509.1584,265.22936348434496,-36.35820519171341
3,gaviao-misterioso-sigma,0.8701362,0.9385311,5040.3784,1146.8796,284.02566215626837,18.40303868983636
4,pinguim-vivaz-beta,1.0083119,2.167652,5676.5674,998.4553,300.80580445460237,20.601006060054676
5,lince-majestoso-delta,0.76986045,0.2699508,4760.597,1069.1788,205.6911379853152,-69.25874049854168
6,pavao-nervoso-gama,2.6045253,38.38267,4535.611,3223.5676,269.7755983462497,-31.259007115456974
7,gaivota-digna-delta,0.5483444,0.058975846,3558.9136,662.0392,294.2962728879645,47.56515893088721
8,bode-antigo-iota,1.6774719,11.496026,4963.9375,769.7432,133.30752391927658,-41.55008380735061
9,crocodilo-orgulhoso-pi,0.81336117,0.26977077,5209.5015,763.4323,283.64890632484605,-11.148167876291518
10,zebra-astuta-delta,0.94940037,1.2007222,5320.473,1259.0143,242.2336541618661,-32.28238489501568
11,lobo-audivel-delta,0.8619598,0.68150693,5338.915,1269.7174,141.70593215264103,-20.555399628145345
12,morcego-selvagem-delta,1.2399206,3.992156,5158.772,2506.2876,249.68523159437046,-18.703049124736708
13,tordo-gentil-gama,0.72486347,0.15387717,4490.0825,758.0699,125.98987168753544,53.007689046143376
14,tartaruga-brava-delta,1.874038,16.57263,7965.7383,2074.051,214.20805396229704,-64.17704507182896
15,gaivota-curiosa-alfa,0.7113156,0.19207028,4438.487,1654.411,303.91285450726167,-9.775989960950838
16,tordo-manso-beta,0.92250896,1.3981098,5505.8604,1376.5486,291.7612798649149,-36.32633546994545
17,rinoceronte-imponente-delta,1.3389686,4.415694,6330.157,1798.3876,17.34329582990217,50.181852552049556
18,bufalo-rapido-alfa,0.75492156,0.18412666,4712.42,1210.6233,174.2956515460178,-61.87913171490927
19,antilope-corajoso-delta,1.7100363,10.819278,5188.874,6163.0967,183.3339832273011,-42.963197258296184
20,raposa-estranha-pi,0.61015016,0.085123934,4031.07,1084.0527,258.3404126667317,-56.86712854151479
21,ornintorrinco-vivaz-iota,1.5790919,7.6163373,7363.35,1455.2781,97.53217208370887,6.33397029915857
22,macaco-eletrico-zeta,0.8094153,0.50804853,5107.435,911.9418,142.01244373573746,-35.397103471283145
23,galo-ferido-beta,0.8654216,0.92554176,5397.86,850.4236,94.7484908526303,2.824974053478234
24,urso-vivaz-sigma,1.1004285,9.195923,4783.3257,2245.5298,80.02752748641586,-49.78518600852439
25,lobo-eletrico-pi,0.83809704,0.5093422,5028.5854,1430.6906,209.6862060049023,-48.744865359266164
26,panda-curioso-alfa,0.67849773,0.16670945,4476.7915,1324.8556,82.48098575410305,17.160094794184754
27,baleia-tranquila-iota,0.98877007,1.4806439,5787.115,1330.7432,101.94364564330127,-20.757860406630318
28,hiena-gigante-pi,0.91186684,0.49109086,5395.7505,1386.9795,223.9102716138374,-37.6825518879348
29,golfinho-sombrio-gama,0.8490757,0.81647915,5276.8145,1353.4585,333.2815992985356,52.928092991516465
30,galo-encantado-gama,1.0707093,8.417811,4768.098,1899.6305,294.97168221395907,15.040708449347239
31,gaviao-rapido-zeta,3.3022232,80.135376,4623.033,2286.2324,270.55348319247673,-27.347108739706353
32,morcego-astrologo-alfa,0.88436985,0.70920604,5396.675,1485.8351,199.54954389499954,-32.757499746437674
33,gaviao-devoto-zeta,1.0201361,5.73893,4717.3174,1339.4056,267.93260596215595,-22.79153729681298
34,elefante-invisivel-alfa,1.9725896,20.374504,8284.127,1663.5001,151.74014986534317,-54.79400718589822
35,pavao-veneravel-sigma,1.0602343,8.056896,4747.0576,2548.0854,269.9019695248033,-37.986911567109544
36,tigre-imponente-beta,0.99046606,3.0334759,4985.614,847.1883,32.55734163899914,64.41246035358677
37,camelo-manso-sigma,0.54256696,0.07226831,3689.8015,737.8618,113.79875587415445,-8.629768284976713
38,canguru-racional-iota,0.847909,0.5149224,5213.195,1111.7256,77.73978320312564,-19.8002230169468
39,tamandua-frenetico-zeta,1.5134343,7.988566,5535.0146,1657.6094,19.826662445072994,33.86589813653291
40,carpa-forte-delta,1.8890921,19.431932,6761.0737,1263.0413,8.303528461347085,64.99524224350532
41,tamandua-corrosivo-beta,1.350539,4.914291,5172.787,2051.499,243.37456757154092,-25.879347075964674
42,girafa-ardente-alfa,0.6788322,0.14960583,4290.348,864.1564,314.721810940863,88.86904005121626
43,texugo-gelido-alfa,2.502842,97.01373,4961.439,7344.1133,261.3913239111309,-24.82020193904014
44,dragao-leal-zeta,1.1499108,2.5890589,6003.9707,335.3674,202.8906726582048,-46.281027322120366
45,galinha-gigante-pi,0.97441363,1.3822976,5743.8765,1236.7837,301.76065638123237,67.81919603456365
46,camaleao-firme-sigma,4.5968885,514.7299,4839.94,2517.807,221.3915465805986,-52.84778357108991
47,raposa-magnifica-alfa,0.7967334,0.47219256,4977.748,1045.4891,297.8997803381821,5.235852563450336
48,baleia-vigorosa-iota,0.59035784,0.07286486,3727.9312,628.3354,131.0922837225454,-35.73894355839644
49,falcao-magnifico-zeta,1.2087958,2.1890752,6330.574,1720.0548,284.5665711085399,17.475879461680442
50,vaca-esperta-sigma,1.3264174,4.8128514,5310.242,1869.1067,289.2614587686325,38.14622675580577
51,gorila-desconfiado-delta,6.3455753,1938.0802,6278.7373,3899.4185,85.53542481225183,36.488657622503624
52,pinguim-digno-iota,0.7598653,0.38664475,4724.237,1102.4651,293.80384283700823,7.050335021797515
53,cervo-ousado-zeta,0.8057734,0.7468114,5011.017,498.0334,245.17644413062044,32.90913290590351
54,golfinho-racional-sigma,0.7069711,0.2715513,4509.358,1390.7858,274.41391622280554,7.988782614867707
55,lontra-corajosa-sigma,0.7415188,0.13821152,4738.7437,791.5181,279.6944998494015,-17.9667616477025
